ID,Genes
153,HNMT
153,"IL12B, NKSF2"
154,"IL13, ALRH"
154,"PLA2G7, PAFAH"
154,"SCGB3A2, UGRP1"
154,"TNF, TNFA"
154,"UGB, CC10, CCSP, SCGB1A1"
157,"ATCAY, CLAC, KIAA1872"
157,"APTX, AOA, AOA1"
160,"CACNB4, EJM"
160,"SETX, SCAR1, AOA2"
162,"ATM, ATA, AT1"
163,"MRE11A, MRE11, ATLD"
164,"TTPA, TTP1, AVED"
164,"SLC26A2, DTD, DTDST, D5S1708, EDM4"
164,"FLNB, SCT, AOI"
164,"HOXA1, HOX1F, BSAS"
164,ALOX5
165,"SPINK5, LEKTI"
166,"HAVCR1, HAVCR"
166,"PLA2G7, PAFAH"
166,"SELP, GRMP"
166,"IL4R, IL4RA"
166,TF
167,"KCNE2, MIRP1, LQT6"
168,"KCNQ1, KCNA9, LQT1, KVLQT1, ATFB1"
168,GATA4
168,"MYH6, ASD3, MYHCA"
168,"NKX2E, CSX"
171,"HR, AU"
173,"NKX2E, CSX"
173,"GJA1, CX43, ODDD, SDTY3, ODOD"
173,"CRELD1, AVSD2"
173,"CRELD1, AVSD2"
174,"DRD5, DRD1B, DRD1L2"
174,GLO1
174,"MECP2, RTT, PPMX, MRX16, MRX79"
174,NLGN3
174,"NLGN4, KIAA1260, AUTSX2"
175,"TNFRSF6, APT1, FAS, CD95, ALPS1A"
177,"TNFRSF6, APT1, FAS, CD95, ALPS1A"
178,"CASP10, MCH4, ALPS2"
178,"CASP8, MCH5"
180,"AIRE, APECED"
182,"TG, AITD3"
182,DRD4
183,"FOXC1, FKHL7, FREAC3"
183,"USP9Y, DFFRY"
183,"SYCP3, SCP3, COR1"
183,"FOXE1, FKHL15, TITF2, TTF2"
183,"PTEN, MMAC1"
183,"PTEN, MMAC1"
183,BBS1
183,"ARL6, BBS3"
183,BBS7
184,BBS2
184,"ARL6, BBS3"
184,BBS4
184,BBS5
184,"MKKS, HMCS, KMS, MKS, BBS6"
184,"TTC8, BBS8"
185,"TAPBP, TPSN"
186,"TAP2, ABCB3, PSF2, RING11"
187,"MHC2TA, C2TA"
187,RFX5
187,RFXAP
187,RFX5
187,"TAZ, EFE2, BTHS, CMD3A, LVNCX"
187,"GJB2, CX26, DFNB1, PPK, DFNA3, KID, HID"
188,"SLC12A1, NKCC2"
188,"KCNJ1, ROMK1"
188,CLCNKB
